D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_44_636.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_44_636.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_44_636.jpg, 0, 0, 0, 7.841994E-05
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_45_038.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_45_038.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_45_038.jpg, 0, 0, 0, 7.819809E-05
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_45_147.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_45_147.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_45_147.jpg, 0, 0, 0, 7.839529E-05
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_45_248.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_45_248.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_45_248.jpg, 0, 0, 0, 7.825926E-05
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_45_351.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_45_351.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_45_351.jpg, 0, 0, 0, 7.814042E-05
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_45_453.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_45_453.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_45_453.jpg, 0, 0, 0, 7.792581E-05
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_45_556.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_45_556.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_45_556.jpg, 0, 0, 0, 7.767497E-05
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_45_658.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_45_658.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_45_658.jpg, 0, 0, 0, 7.834281E-05
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_45_761.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_45_761.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_45_761.jpg, 0, 0, 0, 7.797483E-05
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_45_862.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_45_862.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_45_862.jpg, 0, 0, 0, 7.794053E-05
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_45_966.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_45_966.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_45_966.jpg, 0, 0, 0, 7.808194E-05
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_46_070.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_46_070.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_46_070.jpg, 0, 0, 0, 7.810462E-05
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_46_173.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_46_173.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_46_173.jpg, 0, 0.3319228, 0, 0.3128854
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_46_281.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_46_281.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_46_281.jpg, 0, 0.6528989, 0, 0.9117293
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_46_381.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_46_381.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_46_381.jpg, 0, 0.9279817, 0, 1.928699
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_46_484.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_46_484.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_46_484.jpg, 0, 1, 0, 3.12674
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_46_586.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_46_586.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_46_586.jpg, 0, 1, 0, 4.30322
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_46_694.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_46_694.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_46_694.jpg, 0, 1, 0, 5.697132
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_46_798.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_46_798.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_46_798.jpg, 0, 1, 0, 6.846444
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_46_901.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_46_901.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_46_901.jpg, -0.2807428, 1, 0, 7.965696
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_47_006.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_47_006.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_47_006.jpg, -0.01706398, 1, 0, 9.091661
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_47_111.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_47_111.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_47_111.jpg, 0, 1, 0, 10.42701
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_47_213.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_47_213.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_47_213.jpg, 0, 1, 0, 11.62871
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_47_317.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_47_317.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_47_317.jpg, -0.03004401, 1, 0, 12.60445
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_47_421.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_47_421.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_47_421.jpg, -0.3234775, 1, 0, 13.76514
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_47_526.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_47_526.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_47_526.jpg, -0.4744121, 1, 0, 14.56554
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_47_630.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_47_630.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_47_630.jpg, -0.1323094, 1, 0, 15.8048
D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\center_2018_12_24_20_47_47_733.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\left_2018_12_24_20_47_47_733.jpg, D:\Autonomous_vehicle\Udemy\SDC\Self_driving_car_NVIDEA_Model\IMG\right_2018_12_24_20_47_47_733.jpg, 0, 1, 0, 17.04902
